Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Chemistry\Chemistry\Cambridge International AS _ A Level Chemistry Coursebook with Digital Access (2 Years) - Cambridge University Press (2020).pdf
Subject: AL-Chemistry  Form: AS-A2  Pages: 10-886 of 886
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Chemistry, AS-A2, Chapter 23: Entropy and Gibbs free, Gibbs Free Energy and Spontaneity) already exists.","hint":null,"message"
  p700/886  DB-ERR  Chapter 23: Entropy and Gibbs free | 23.5 Gibbs free energy
  p701/886  SAVED  Chapter 23: Entropy and Gibbs free | 
  p702/886  SAVED  Chapter 23: Entropy and Gibbs free | Temperature change and reaction spontaneity
  p703/886  SAVED  Chapter 23: Gibbs Free Energy | Spontaneity and Temperature
  p704/886  SAVED  Chapter 23: Chemical Energetics | 23.6 Gibbs free energy calculations
  p705/886  SAVED  Chapter 6: Gibbs Free Energy | Calculating ?G?reaction from Standard Molar Gibbs Free Energies
  p706/886  SAVED  Chapter 23: Gibbs Free Energy and Feasibility | Gibbs free energy change and direction of chemical change
  p707/886  SAVED  Chapter 20: Electrode Potentials | Gibbs free energy change and standard electrode potential
  p708/886  SAVED  Chapter 20: Electrochemistry | Standard Free Energy Change and Cell Potential
  p709/886  SKIP  (only 4 words)
  p710/886  SAVED  Chapter 20: Standard Electrode Potentials and Gibbs Free Energy | 
  p711/886  SKIP  Page contains only exam-style questions, no new teaching content.
  p712/886  SKIP  The page contains only exam-style questions without explanatory content, making it unsuitable for extracting a teachable concept.
  p713/886  SAVED  Chapter 6: to calculate the enthalpy change of | 
  p714/886  SKIP  (only 0 words)
  p715/886  SKIP  Page is a self-evaluation checklist with no teaching content.
  p716/886  SKIP  Page contains only learning intentions and no teachable content.
  p717/886  SAVED  Chapter 24: Transition elements | 
  p718/886  SAVED  Chapter 24: Transition elements | Biological importance of transition metal complexes
  p719/886  SAVED  Chapter 24: Transition elements | 24.1 What is a transition element?
  p720/886  SAVED  Chapter 24: Transition elements | Variable oxidation states
  p721/886  SAVED  Chapter 24: Transition elements | Oxidation states of transition elements
  p722/886  SAVED  Chapter 24: Transition Elements | 24.2 Physical and chemical properties of the transition elements
  p723/886  SAVED  Chapter 20: Standard Electrode Potentials | 
  p724/886  SAVED  Chapter 20: Electrode Potentials and Redox Titrations | Redox Titrations
  p725/886  SAVED  Chapter 20: Redox Reactions and Electrode Potentials | Redox Titrations
  p726/886  SAVED  Chapter 20: Standard Electrode Potentials | 
  p727/886  SKIP  Page contains only reflective self-assessment questions, no new teachable content.
  p728/886  SAVED  Chapter 24: Transition Elements | 24.3 Ligands and complex formation
  p729/886  SAVED  Chapter 24: Transition Elements and Coordination Complexes | Common Ligands and Their Complexes
  p730/886  SAVED  Chapter 24: Stereoisomerism in Transition Metal Complexes | Geometric isomerism in transition metal complexes
  p731/886  SAVED  Chapter 24: Stereoisomerism in Coordination Complexes | Optical Isomerism in Octahedral Complexes with Bidentate Ligands
  p732/886  SAVED  Chapter 14: Stereoisomerism and Ligand Substitution | Substitution of ligands
  p733/886  SAVED  Chapter 24: Transition Elements | 
  p734/886  SAVED  Chapter 14: Stereoisomerism | Stability constants
  p735/886  SAVED  Chapter 14: Stereoisomerism | Stability Constants
  p736/886  SAVED  Chapter 24: Stability Constants and Ligand Exchange | 
  p737/886  SAVED  Chapter 14: Stereoisomerism (with Ligand Exchange and Stability Constants) | Stability Constants and Ligand Displacement
  p738/886  SAVED  Chapter 24: Transition Elements | The colour of complexes
  p739/886  SAVED  Chapter 24: d-Block Chemistry | d-orbital splitting and colour
  p740/886  SKIP  Page contains only student questions and reflection activities, no explanatory teaching content.
  p741/886  SKIP  Page is a summary of chapter content, not a single teachable concept.
  p742/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p743/886  SKIP  The page contains only exam-style questions, no explanatory teaching content.
  p744/886  SKIP  Self-evaluation checklist, no new content.
  p745/886  SKIP  Page is a chapter opener listing learning intentions only, with no detailed teachable content.
  p746/886  SKIP  Page contains only learning objectives and review questions, no new teachable content.
  p747/886  SKIP  The page contains only historical anecdote about Kekulé's dream and a brief mention of vanillin, without any detailed chemical principles, equations, or mechanisms. It does not provide teachable A-Level content.
  p748/886  SAVED  Chapter 25: Benzene and its | 25.1 The benzene ring
  p749/886  SAVED  Chapter 25: Benzene and its compounds | 
  p750/886  SKIP  The page contains only end-of-section questions and a discussion activity, no explanatory content to form a teaching unit.
  p751/886  SAVED  Chapter 25: Benzene and its compounds | 25.2 Reactions of arenes
  p752/886  SAVED  Chapter 25: Benzene and its derivatives | Nitration of benzene
  p753/886  SAVED  Chapter 25: Benzene and its Compounds | Nitration of Benzene
  p754/886  SAVED  Chapter 25: Benzene and its Compounds | Friedel-Crafts Reactions
  p755/886  SAVED  Chapter 25: Benzene and its compounds | Alkylation and acylation of benzene
  p756/886  SAVED  Chapter 25: Benzene and its Compounds | Oxidation of the side-chain in arenes
  p757/886  SKIP  Page contains only a reflection/discussion activity with no new chemical content.
  p758/886  SAVED  Chapter 25: Benzene and its compounds | 25.3 Phenol
  p759/886  SAVED  Chapter 25: Benzene and its compounds | Acidity of phenol
  p760/886  SKIP  (only 25 words)
  p761/886  SAVED  Chapter 25: Benzene and its compounds | 25.4 Reactions of phenol
  p762/886  SAVED  Chapter 25: Benzene and its compounds | Activation of benzene ring by phenol
  p763/886  SKIP  Page contains only exam-style questions and reflection activities, no explanatory content.
  p764/886  SAVED  Chapter 25: Arenes | SUMMARY
  p765/886  SKIP  Page contains only exam-style questions, no teaching content.
  p766/886  SAVED  Chapter 25: Benzene and its Reactions | Nitration of Benzene
  p767/886  SKIP  Page is a self-evaluation checklist, not teachable content.
  p768/886  SAVED  Chapter 26: Carboxylic acids and their derivatives | Learning Intentions
  p769/886  SAVED  Chapter 26: Carboxylic acids and their derivatives | TRANS-FATTY ACIDS
  p770/886  SAVED  Chapter 26: Carboxylic acids and their | 
  p771/886  SAVED  Chapter 26: Carboxylic acids and their | 26.1 The acidity of carboxylic acids
  p772/886  SAVED  Chapter 26: Carboxylic acids and their | 
  p773/886  SKIP  (only 30 words)
  p774/886  SAVED  Chapter 26: Carboxylic Acids | Oxidation of two carboxylic acids
  p775/886  SAVED  Chapter 17: Oxidation of Primary Alcohols | Preparation of Carboxylic Acids and Redox Titrations
  p776/886  SAVED  Chapter 26: Carboxylic Acids and Their Derivatives | 26.3 Acyl chlorides
  p777/886  SAVED  Chapter 17: that primary alcohols can be oxidised by heating with acidif | Acyl chlorides
  p778/886  SAVED  Chapter 26: Acyl Chlorides | Hydrolysis and reactions with alcohols
  p779/886  SAVED  Chapter 26: Carboxylic Acids and Their Derivatives | Reactions of Acyl Chlorides
  p780/886  SAVED  Chapter 26: Acyl Chlorides and Amines | Reaction of Acyl Chlorides with Amines
  p781/886  SAVED  Chapter 26: Carboxylic Acids and Acyl Chlorides | 
  p782/886  SKIP  Page contains only exam-style questions, no explanatory content.
  p783/886  SKIP  Page contains only a self-evaluation checklist, not teachable content.
  p784/886  SKIP  Page only contains learning intentions, no actual teaching content or explanations.
  p785/886  SKIP  Page contains only learning objectives, review questions, and an anecdotal history—no detailed teaching content or explanations to structure.
  p786/886  SKIP  Page contains only discussion questions and figures, no explanatory content.
  p787/886  SAVED  Chapter 27: Organic nitrogen | 27.1 Amines
  p788/886  SAVED  Chapter 27: Organic nitrogen | Amines as bases
  p789/886  SKIP  (only 31 words)
  p790/886  SAVED  Chapter 27: Amines | 27.2 Formation of amines
  p791/886  SAVED  Chapter 27: Amines | Reactions of phenylamine
  p792/886  SAVED  Chapter 27: Azo Dyes | Azo Dyes: Diazotisation and Coupling Reaction
  p793/886  SAVED  Chapter 27: Aromatic Amines and Azo Dyes | Azo Dyes and Coupling Reactions
  p794/886  SAVED  Chapter 27: Amino acids and proteins | 27.3 Amino acids
  p795/886  SAVED  Chapter 16: Amino Acids and Proteins | The Isoelectric Point
  p796/886  SAVED  Chapter 27: Amino Acids and Proteins | 27.4 Peptides
  p797/886  SAVED  Chapter 27: Amines, Amino Acids, and Amides | 27.5 Reactions of the amides
  p798/886  SAVED  Chapter 16: Nucleophilic Substitution | Hydrolysis of Amides
  p799/886  SAVED  Chapter 27: Amino Acids and Proteins | How electrophoresis works
  p800/886  SAVED  Chapter 27: Amino Acids, Proteins, and DNA | Gel Electrophoresis
  p801/886  SKIP  Page contains only practice question fragments and reflection activities, no teachable content.
  p802/886  SAVED  Chapter 27: Amines, Amino Acids and Proteins | Summary
  p803/886  SKIP  Page contains only exam-style questions, no teachable content such as explanations, mechanisms, or worked examples.
  p804/886  SKIP  Page contains only exam questions without explanatory content.
  p805/886  SKIP  Self-evaluation checklist, no new content to teach.
  p806/886  SKIP  This page contains only the chapter title and learning intentions, no substantive teachable content.
  p807/886  SAVED  Chapter 28: Polymerisation | CONDUCTING POLYMERS
  p808/886  SAVED  Chapter 28: Polymerisation | Conducting polymers
  p809/886  SAVED  Chapter 28: Polymerisation | 28.1 Condensation polymerisation
  p810/886  SKIP  Page contains only review questions and reflection, no explanatory content.
  p811/886  SAVED  Chapter 28: Synthetic Polymers | 28.2 Synthetic polyamides
  p812/886  SAVED  Chapter 28: Polyamides and Kevlar | Kevlar: Structure and Properties
  p813/886  SKIP  Page contains only exam-style questions and a reflection activity, with no explanatory content or worked examples to structure as a teaching unit.
  p814/886  SAVED  Chapter 28: Biochemical polyamides | 28.3 Biochemical polyamides
  p815/886  SAVED  Chapter 27: Amino Acids and Peptides | Polypeptides and Proteins
  p816/886  SAVED  Chapter 27: Condensation Polymers | Polyesters
  p817/886  SAVED  Chapter 28: Polymerisation | 28.4 Degradable polymers
  p818/886  SAVED  Chapter 27: Amino acids, peptides and polymers | 
  p819/886  SAVED  Chapter 28: Polymers | 28.5 Polymer deductions
  p820/886  SAVED  Chapter 27: Amino Acids and Polymers | Deducing the type of polymerisation reaction
  p821/886  SAVED  Chapter 27: Condensation Polymers | Condensation Polymers
  p822/886  SAVED  Chapter 15: Polymerisation | Summary
  p823/886  SKIP  Page contains only exam-style questions, no explanatory content.
  p824/886  SKIP  Page contains only exam-style questions with no explanatory or instructional content.
  p825/886  SKIP  Page is a self-evaluation checklist with no teachable content.
  p826/886  SKIP  Page contains only learning objectives for Chapter 29, no substantive teachable content.
  p827/886  SAVED  Chapter 29: Designing Drugs | Designing a Drug
  p828/886  SAVED  Chapter 14: Drug Design and Molecular Modelling | Computer-Aided Drug Design
  p829/886  SAVED  Chapter 29: Chirality in pharmaceutical synthesis | 29.1 Chirality in pharmaceutical synthesis
  p830/886  SAVED  Chapter 29: Optical Isomerism and Drugs | 29.2 Preparing pure enantiomers for use as drugs
  p831/886  SAVED  Chapter 14: Chirality and Pharmaceuticals | Chiral Catalysts in Drug Synthesis
  p832/886  SKIP  Page is a study guide/revision section with reflection questions and general advice on synthetic routes, not containing new teachable chemical content or explanations.
  p833/886  SAVED  Chapter 29: Organic Synthesis | Planning Synthetic Routes
  p834/886  SAVED  Chapter 16: Halogenoalkanes and Synthetic Routes | Addition of Carbon Atoms via Nitrile Formation from Halogenoalkanes
  p835/886  SKIP  The page contains a reflection activity, not teachable chemical content.
  p836/886  SAVED  Chapter 16: Halogenoalkanes | Summary
  p837/886  SKIP  The page contains only exam-style questions, not instructional content.
  p838/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p839/886  SKIP  Page contains only a self-evaluation checklist, no explanatory content to teach.
  p840/886  SKIP  Page contains only chapter title and learning intentions, no teachable content.
  p841/886  SKIP  Page contains only introductory material and group activity suggestions, not teachable A-Level content.
  p842/886  SKIP  Page contains only images, figure captions, and discussion questions; no substantive chemical content or principles to teach.
  p843/886  SAVED  Chapter 30: Analytical chemistry | 30.1 General principles of chromatography
  p844/886  SAVED  Chapter 30: Analytical chemistry | Paper chromatography
  p845/886  SAVED  Chapter 30: Analytical chemistry | 30.2 Thin-layer chromatography
  p846/886  SAVED  Chapter 30: Analytical chemistry | Thin-layer chromatography (TLC)
  p847/886  SAVED  Chapter 30: Analytical chemistry | 30.3 Gas?liquid chromatography
  p848/886  SAVED  Chapter 30: Analytical chemistry | Gas?liquid chromatography (GLC) ? quantitative analysis
  p849/886  SKIP  Page contains only a reflection and a question, no explanatory content to structure into a teaching unit.
  p850/886  SAVED  Chapter 30: Analytical chemistry | 30.4 Proton (1H) nuclear magnetic resonance
  p851/886  SAVED  Chapter 30: Analytical chemistry | NMR Spectroscopy: Standards and Solvents
  p852/886  SAVED  Chapter 30: Analytical chemistry | 
  p853/886  SAVED  Chapter 30: Analytical chemistry | High-resolution NMR spectroscopy
  p854/886  SAVED  Chapter 30: Analytical chemistry | High-resolution NMR spectroscopy
  p855/886  SAVED  Chapter 30: Analytical chemistry | 
  p856/886  SAVED  Chapter 30: Analytical chemistry | Identifying -OH and -NH groups in NMR spectroscopy
  p857/886  SAVED  Chapter 30: Analytical chemistry | Proton NMR spectroscopy
  p858/886  SAVED  Chapter 30: Analytical chemistry | 30.5 Carbon-13 NMR spectroscopy
  p859/886  SAVED  Chapter 30: Analytical chemistry | Carbon-13 NMR Spectroscopy
  p860/886  SKIP  Page contains only reflection prompts for students, no teachable chemistry content.
  p861/886  SAVED  Chapter 30: Chromatography and NMR Spectroscopy | 
  p862/886  SKIP  Page contains only exam-style questions, not explanatory content.
  p863/886  SKIP  Page contains only exam-style practice questions, no explanatory content.
  p864/886  SAVED  Chapter 30: Organic Analysis | Empirical and Molecular Formula Determination
  p865/886  SKIP  (only 32 words)
  p866/886  SKIP  Self-evaluation checklist, no new teaching content.
  p867/886  SKIP  (only 6 words)
  p868/886  SKIP  Page contains only introductory text about practical skills examination, no specific chemical concept to teach.
  p869/886  SAVED  Chapter 30: Practical Skills | P2.2 Planning
  p870/886  SAVED  Chapter 30: Practical Skills and Methods | Methods
  p871/886  SAVED  Chapter 30: Experimental Planning and Processing Results | Enthalpy Change Experiment Planning
  p872/886  SAVED  Chapter 30: Experimental Techniques and Analysis | Determination of Empirical Formulas by Reduction
  p873/886  SKIP  The page contains only a list of learning objectives for practical skills (analysis, evaluation, conclusions) with no specific chemistry content, equations, mechanisms, or principles to teach.
  p874/886  SAVED  Chapter 30: Practical Skills | P2.4 The three remaining skills
  p875/886  SAVED  Chapter 30: Practical Skills in Chemistry | Graph Plotting and Evaluation of Results
  p876/886  SAVED  Chapter 30: Data Analysis in Practical Chemistry | Points to remember
  p877/886  SAVED  Chapter 30: Planning, Analysis and Evaluation | Summary
  p878/886  SKIP  Page contains only exam-style questions, not teaching content.
  p879/886  SKIP  The extracted text is an exam-style question about dyes, not a teaching unit with explanatory content.
  p880/886  SKIP  (only 8 words)
  p881/886  SKIP  Page is a reference table of standard electrode potentials, not instructional content.
  p882/886  SAVED  Chapter 30: Electrochemistry | Standard Electrode Potentials
  p883/886  SKIP  Page contains only reference tables of qualitative analysis reactions, not a teachable concept or explanation suitable for a teaching unit.
  p884/886  SAVED  Chapter 30: Qualitative Analysis | Tests for Anions, Gases, and Iodine
  p885/886  SKIP  Page contains only image credits/acknowledgements, no teachable chemistry content.
  p886/886  SKIP  Page contains only copyright and publishing information, no chemistry content.
------------------------------------------------------------
DONE: 653 saved, 221 skipped, 3 errors
Backup: C:\Learnova\AL-Chemistry_FAS-A2_results.json
DONE: 653 saved, 221 skipped, 3 errors
