Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Physics\Physics\Cambridge International AS _ A Level Physics Coursebook with Digital Access (2 Years) - Cambridge University Press (2021).pdf
Subject: AL-Physics  Form: AS-A2  Pages: 10-907 of 907
  p749/907  SAVED  Chapter 27: Alternating currents | Root mean square (r.m.s.) values
  p750/907  SAVED  Chapter 27: Alternating currents | 27.4 Rectification
  p751/907  SAVED  Chapter 27: Alternating currents | Rectification
  p752/907  SAVED  Chapter 27: Alternating currents | Smoothing capacitors
  p753/907  SAVED  Chapter 27: Alternating currents | Smoothing capacitors in rectifier circuits
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Physics, AS-A2, Chapter 27: Alternating currents, Root-mean-square (r.m.s.) values) already exists.","hint":null,"message":"dup
  p754/907  DB-ERR  Chapter 27: Alternating currents | 
  p755/907  SKIP  Page contains only exam-style questions with no teaching content, explanation, or worked examples.
  p756/907  SKIP  Page contains only exam-style questions without explanatory content or worked examples.
  p757/907  SKIP  Page contains only exam-style questions with no explanatory or teaching content.
  p758/907  SKIP  Page contains only a problem question, no explanatory content.
  p759/907  SKIP  Page contains only a self-evaluation checklist, no new teaching content.
  p760/907  SKIP  Page contains only learning intentions, no teachable content.
  p761/907  SAVED  Chapter 28: Quantum physics | What is light?
  p762/907  SAVED  Chapter 28: Quantum physics | 28.1 Modelling with particles and waves
  p763/907  SAVED  Chapter 28: Quantum physics | Waves or particles?
  p764/907  SAVED  Chapter 28: Quantum physics | 
  p765/907  SAVED  Chapter 28: Quantum physics | 28.2 Particulate nature of light
  p766/907  SAVED  Chapter 28: Quantum physics | Photon energy and emission rate
  p767/907  SAVED  Chapter 15: that we use another | The electronvolt (eV)
  p768/907  SAVED  Chapter 15: Quantum Physics | Determination of Planck?s Constant Using LEDs
  p769/907  SAVED  Chapter 15: Determining Planck Constant Using LEDs | Experimental determination of Planck constant
  p770/907  SAVED  Chapter 28: Quantum Physics | 28.3 The photoelectric effect
  p771/907  SAVED  Chapter 28: Quantum Physics | 28.4 Threshold frequency and wavelength
  p772/907  SAVED  Chapter 15: The Photoelectric Effect | Einstein's Photon Model
  p773/907  SAVED  Chapter 28: Photoelectric Effect | Threshold Frequency and Work Function
  p774/907  SAVED  Chapter 28: The Photoelectric Effect | The Photon Model and Photoelectric Effect
  p775/907  SAVED  Chapter 28: Quantum Physics | 28.5 Photons have momentum too
  p776/907  SKIP  The page contains incomplete steps for a calculation with no actual data, equations, or explanatory text; lacks teachable content.
  p777/907  SAVED  Chapter 28: Atomic Physics | 28.6 Line spectra
  p778/907  SAVED  Chapter 28: Spectroscopy | 
  p779/907  SKIP  (only 29 words)
  p780/907  SAVED  Chapter 28: Quantum Physics | 28.7 Explaining the origin of line spectra
  p781/907  SAVED  Chapter 15: Atomic Spectra and Energy Levels | Absorption Line Spectra
  p782/907  SAVED  Chapter 28: Atomic Physics | 28.8 Photon energies
  p783/907  SAVED  Chapter 28: Atomic Physics | Energy Level Diagrams and Photon Transitions
  p784/907  SAVED  Chapter 28: The Nature of Light | The nature of light: waves or particles?
  p785/907  SAVED  Chapter 28: Quantum Physics | 28.10 Electron waves
  p786/907  SAVED  Chapter 28: Wave-Particle Duality | Electron Diffraction
  p787/907  SAVED  Chapter 15: Quantum Physics | Electron Diffraction
  p788/907  SAVED  Chapter 15: Waves and Particles | Probing matter with diffraction
  p789/907  SAVED  Chapter 15: Wave-Particle Duality | Electron Diffraction and the Nature of the Electron
  p790/907  SAVED  Chapter 15: Quantum Physics | 28.11 Revisiting photons
  p791/907  SAVED  Chapter 15: Quantum Physics | Summary
  p792/907  SKIP  (only 0 words)
  p793/907  SKIP  Page contains exam-style questions only, no teachable content.
  p794/907  SKIP  Page contains only practice questions without explanatory content or worked examples required for a teaching unit.
  p795/907  SAVED  Chapter 28: Atomic Physics | Energy Levels in Atoms
  p796/907  SKIP  Page contains only exam-style questions and no explanatory text suitable for a teaching unit.
  p797/907  SKIP  Page contains only a self-evaluation checklist with learning objectives, no teachable content.
  p798/907  SKIP  Page is a chapter introduction with learning intentions and prerequisites, no teachable content.
  p799/907  SKIP  Page contains only introductory narrative and no specific concept explanation, equations, or worked examples.
  p800/907  SAVED  Chapter 29: Nuclear physics | 29.1 Balanced equations
  p801/907  SAVED  Chapter 29: Nuclear physics | Nuclear decay equations
  p802/907  SAVED  Chapter 29: Nuclear physics | 29.2 Mass and energy
  p803/907  SAVED  Chapter 29: Nuclear physics | Mass and energy
  p804/907  SAVED  Chapter 29: Nuclear physics | Mass?energy conservation
  p805/907  SAVED  Chapter 29: Nuclear physics | Atomic mass unit
  p806/907  SAVED  Chapter 29: Nuclear physics | 29.3 Energy released in radioactive decay
  p807/907  SAVED  Chapter 29: Nuclear physics | 29.4 Binding energy and stability
  p808/907  SAVED  Chapter 29: Nuclear physics | Binding energy per nucleon
  p809/907  SAVED  Chapter 29: Nuclear physics | Fission and Fusion
  p810/907  SKIP  (only 0 words)
  p811/907  SAVED  Chapter 29: Nuclear physics | 29.5 Randomness and radioactive decay
  p812/907  SAVED  Chapter 29: Nuclear physics | Spontaneous decay
  p813/907  SAVED  Chapter 29: Nuclear physics | 29.6 The mathematics of radioactive decay
  p814/907  SAVED  Chapter 29: Nuclear physics | Activity and count rate
  p815/907  SAVED  Chapter 29: Nuclear physics | 29.7 Decay graphs and equations
  p816/907  SAVED  Chapter 29: Nuclear physics | Exponential Decay Law
  p817/907  SAVED  Chapter 29: Nuclear physics | Radioactive decay
  p818/907  SAVED  Chapter 29: Nuclear physics | 29.8 Decay constant ? and half-life
  p819/907  SAVED  Chapter 29: Nuclear physics | Radioactive decay laws
  p820/907  SAVED  Chapter 29: Nuclear physics | Summary
  p821/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p822/907  SKIP  Page contains only exam questions, no explanatory content.
  p823/907  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p824/907  SKIP  (only 0 words)
  p825/907  SKIP  Page is a self-evaluation checklist, not teachable content.
  p826/907  SKIP  Page is an introductory section with learning intentions and review prompts, no specific teachable content.
  p827/907  SKIP  The extracted text is a chapter introduction that outlines topics and raises ethical questions about radiation exposure, but contains no specific laws, equations, or detailed physical reasoning suitable for a teaching unit.
  p828/907  SAVED  Chapter 30: Medical imaging | 30.1 The nature and production of X-rays
  p829/907  SAVED  Chapter 30: Medical imaging | X-ray tube
  p830/907  SAVED  Chapter 30: Medical imaging | Controlling intensity
  p831/907  SAVED  Chapter 30: Medical imaging | 30.2 X-ray attenuation
  p832/907  SAVED  Chapter 30: Medical imaging | Half-thickness
  p833/907  SAVED  Chapter 30: Medical imaging | 30.3 Improving X-ray images
  p834/907  SAVED  Chapter 30: Medical imaging | Contrast media in X-ray imaging
  p835/907  SKIP  (only 0 words)
  p836/907  SAVED  Chapter 30: Medical imaging | 30.4 Computerised axial tomography
  p837/907  SAVED  Chapter 30: Medical imaging | CT scans
  p838/907  SKIP  Page contains only a figure caption and two review questions, with no explanatory content, worked examples, or conceptual teaching material.
  p839/907  SAVED  Chapter 30: Medical imaging | 30.5 Using ultrasound in medicine
  p840/907  SAVED  Chapter 25: Ultrasound Imaging | Piezoelectric Transducers
  p841/907  SAVED  Chapter 25: Transducers and Ultrasound | Piezo-electric Materials
  p842/907  SAVED  Chapter 30: Ultrasound and Medical Imaging | 30.6 Echo sounding
  p843/907  SAVED  Chapter 25: Transducers and Medical Imaging | Calculating Reflected Intensities
  p844/907  SAVED  Chapter 25: Transducers | Acoustic Impedance and Reflection
  p845/907  SAVED  Chapter 25: Medical Imaging | Attenuation of Ultrasound
  p846/907  SAVED  Chapter 30: Medical Imaging | 30.7 Ultrasound scanning
  p847/907  SAVED  Chapter 30: Medical Imaging | B-scan
  p848/907  SAVED  Chapter 25: Medical Imaging | Ultrasound imaging
  p849/907  SAVED  Chapter 30: Medical Imaging | 30.8 Positron Emission Tomography
  p850/907  SAVED  Chapter 30: Medical Physics | The production of suitable radioisotopes
  p851/907  SAVED  Chapter 25: Medical Imaging | Positron Emission Tomography (PET)
  p852/907  SAVED  Chapter 25: Medical Imaging | PET Scanners
  p853/907  SAVED  Chapter 25: Medical Imaging | Ultrasound and Acoustic Impedance
  p854/907  SAVED  Chapter 25: Medical Physics | 
  p855/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p856/907  SKIP  Page contains only exam questions, no explanatory content.
  p857/907  SKIP  page contains only a self-evaluation checklist with learning objectives, no new teaching content.
  p858/907  SAVED  Chapter 25: Medical Imaging | 30.8 Positron Emission Tomography (PET)
  p859/907  SKIP  Page contains only learning intentions and prerequisites, no substantive physics content or explanation.
  p860/907  SAVED  Chapter 31: Astronomy and cosmology | LOOKING INTO THE PAST
  p861/907  SAVED  Chapter 31: Astronomy and cosmology | 31.1 Standard candles
  p862/907  SAVED  Chapter 31: Astronomy and cosmology | 31.2 Luminosity and radiant flux intensity
  p863/907  SAVED  Chapter 31: Astronomy and cosmology | Distance of galaxies
  p864/907  SAVED  Chapter 31: Astronomy and cosmology | Radiant flux intensity and inverse square law
  p865/907  SKIP  Page only introduces the problem and describes a practical activity for the Sun's diameter but does not provide the core explanation or worked example for determining stellar radii. The content is incomplete as the formula and explanation cut off.
  p866/907  SAVED  Chapter 31: Astronomy and cosmology | Wien?s displacement law
  p867/907  SAVED  Chapter 31: Astronomy and cosmology | Wien's displacement law and Stefan-Boltzmann law
  p868/907  SAVED  Chapter 31: Astronomy and cosmology | Determining the radius of a star
  p869/907  SAVED  Chapter 31: Astronomy and cosmology | 31.4 The expanding Universe
  p870/907  SAVED  Chapter 31: Astronomy and cosmology | Doppler redshift
  p871/907  SAVED  Chapter 31: Astronomy and cosmology | Evidence for the Big Bang
  p872/907  SAVED  Chapter 31: Astronomy and cosmology | The Big Bang and the Age of the Universe
  p873/907  SAVED  Chapter 31: Astronomy and cosmology | 
  p874/907  SKIP  Page contains only exam-style questions, no teaching content or explanations.
  p875/907  SKIP  Page contains only exam-style questions, no instructional content.
  p876/907  SAVED  Chapter 31: Astronomy and cosmology | Radiant flux intensity
  p877/907  SKIP  Self-evaluation checklist page with no new teaching content.
  p878/907  SKIP  Page contains only learning intentions and prerequisites for Practical Skills chapter, no detailed content to structure.
  p879/907  SKIP  Page contains generic practical skills information (planning and analysis) not related to the chapter's astronomy and cosmology content.
  p880/907  SKIP  The extracted text is from a practical skills section (P2.2 Planning) rather than the main chapter content on astronomy and cosmology. It provides general experimental planning advice without specific physics concepts or equations relevant to the chapter.
  p881/907  SKIP  Page contains generic experimental design advice unrelated to astronomy and cosmology, no specific physics concept to teach.
  p882/907  SKIP  The extracted text discusses experimental planning and resistivity measurement, which is not relevant to Chapter 31: Astronomy and cosmology.
  p883/907  SKIP  Page content is fragmented and does not present a coherent physics concept; appears to be experimental procedure unrelated to astronomy.
  p884/907  SAVED  Chapter 31: Astronomy and cosmology | P2.3 Analysis of the data
  p885/907  SAVED  Chapter 31: Astronomy and cosmology | Data Analysis: Linearizing Relationships
  p886/907  SAVED  Chapter 31: Astronomy and cosmology | 
  p887/907  SAVED  Chapter 31: Astronomy and cosmology | 
  p888/907  SAVED  Chapter 31: Astronomy and cosmology | Graphical analysis of exponential decay
  p889/907  SKIP  Page content is about a pendulum experiment to determine g, which is not related to astronomy and cosmology.
  p890/907  SAVED  Chapter 31: Astronomy and cosmology | Treatment of uncertainties
  p891/907  SAVED  Chapter 31: Astronomy and cosmology | Uncertainties and logarithms
  p892/907  SKIP  Page contains only practice questions (Table P2.4 and P2.5) and no explanatory or conceptual teaching content.
  p893/907  SAVED  Chapter 31: Astronomy and cosmology | Experimental skills
  p894/907  SKIP  Page is a generic summary of experimental planning and analysis, not specific to the chapter's astronomy and cosmology content.
  p895/907  SKIP  Page contains only exam-style questions, no instructional content.
  p896/907  SKIP  Page contains only exam-style questions without explanations or teaching content.
  p897/907  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p898/907  SKIP  Page content is a practical exercise about resistance and temperature, unrelated to Chapter 31: Astronomy and cosmology.
  p899/907  SKIP  Self-evaluation checklist with no subject-specific content.
  p900/907  SAVED  Chapter 31: Astronomy and cosmology | Appendix 1: Physical quantities and units
  p901/907  SAVED  Chapter 31: Astronomy and cosmology | 
  p902/907  SKIP  Page contains only reference data and formulae, no instructional content.
  p903/907  SKIP  (only 37 words)
  p904/907  SKIP  This is an appendix page listing conversion factors and mathematical equations, not a teaching unit.
  p905/907  SKIP  (only 5 words)
  p906/907  SKIP  Page contains only acknowledgements and image credits; no physics content.
  p907/907  SKIP  Page contains only copyright and publishing information, no physics content.
------------------------------------------------------------
DONE: 610 saved, 284 skipped, 4 errors
Backup: C:\Learnova\AL-Physics_FAS-A2_results.json
DONE: 610 saved, 284 skipped, 4 errors
